Id,Prediction
0,4354370.66171847
1,4048907.0353670176
2,4553786.151429706
3,3955919.131869587
4,4287512.781531633
5,4656474.178862676
6,4379470.738375814
7,4438906.794982701
8,4623439.121359024
9,4239694.054845439
10,4409403.768429459
11,4502551.532565131
12,5270186.790343766
13,5171070.057154937
14,4424502.417261923
15,4497567.851499994
16,5145056.473954988
17,4046824.496174198
18,4817212.84422693
19,4439077.412133225
20,4289213.613828447
21,4593802.039643953
22,4441418.196854773
23,4985940.607415678
24,4712695.885406286
25,4050073.038864355
26,3815921.7944282107
27,4552340.988754943
28,4386746.25014504
29,4726209.327473669
30,5106832.636511284
31,4097091.277299257
32,4405525.321114552
33,4480501.975039323
34,4114518.29123673
35,4551466.022976221
36,4410528.445998553
37,4589997.588764169
38,3665763.9954523197
39,4673874.119060434
40,4530114.580225185
41,4330086.070818568
42,4294637.698957906
43,5119411.544747164
44,4917121.132259083
45,4054056.626757856
46,4166725.1078667855
47,3948753.9216649337
48,4672440.827467324
49,4515544.5503066955
50,4852034.364020082
51,4603470.577385732
52,4302819.576591618
53,3804203.635456515
54,3802519.7161661168
55,4393324.67203283
56,4727359.685167017
57,4529166.2237053905
58,4757188.832014537
59,4855173.364304158
60,3790509.0742535023
61,4263714.556273715
62,4301490.2378085675
63,4177597.1039665546
64,4484336.746201311
65,5347127.53479019
66,4746540.093621559
67,5392647.930716944
68,4736044.70073001
69,4414006.698379806
70,4165812.9632396637
71,4423128.987041773
72,4374213.220668558
73,4228802.807726355
74,5355100.691591911
75,4451227.58680524
76,4593317.305453947
77,4152916.754475725
78,4460070.289225456
79,4528334.6112679
80,5013660.312973752
81,5249597.71740165
82,4404857.156583764
83,4824116.627737789
84,5413707.943723831
85,3494596.414685107
86,4905760.268502287
87,4736320.232301149
88,4504481.175756625
89,4600800.085229425
90,5033441.052117679
91,4812720.256236529
92,3941734.675240365
93,5017557.608922054
94,4530282.459508444
95,4702518.296095406
96,4316684.670716587
97,4377046.428814775
98,4043727.212343833
99,4563408.7972869435
100,4629511.539463688
101,3587250.5559551553
102,4287146.916774176
103,4315089.686110572
104,4256180.009882248
105,3868443.429996042
106,4741891.0952996435
107,4664121.395165884
108,4773358.357785927
109,4664315.59977374
110,4816020.678164182
111,4933021.894360559
112,5043803.78815682
113,4450844.087240666
114,4074034.856063103
115,4740068.710322419
116,3939050.595815
117,4604965.507215626
118,3851897.319743281
119,4696048.9791205255
120,4767404.826600871
121,4780612.121997669
122,4405795.429705181
123,5613380.670413745
124,4147423.8273081477
125,4407356.5605533505
126,4877310.938269189
127,4196209.366689962
128,4605602.763598671
129,3955933.3532975144
130,3789396.4433517717
131,4378524.030794104
132,5055115.002886562
133,4075993.9644510862
134,4074909.3126097783
135,4413250.665639428
136,4312391.505290055
137,4069527.8223709394
138,4364267.882083256
139,4291975.526340761
140,5286680.498164212
141,3934949.2637573634
142,4612832.793095623
143,4209337.619432054
144,4512370.626296662
145,4167503.9685463957
146,4533798.379951793
147,3962670.520416598
148,4628884.638909026
149,4706826.935959953
150,4220993.113874889
151,4124651.919508575
152,4809569.875450146
153,5352997.0469119465
154,3931553.994453191
155,4799269.085714486
156,4817228.323713273
157,4708976.948635275
158,4288056.977906547
159,4232551.295522586
160,4110820.646804758
161,4131838.6538017425
162,3990828.324524407
163,5433146.170454476
164,5725741.188481392
165,4499033.546249389
166,4667606.798920289
167,4497065.976593766
168,4318304.869550128
169,4831543.667454768
170,4154046.8007779997
171,4018639.022162403
172,4451274.965768024
173,4644169.48416026
174,4919921.490228083
175,4213752.220786637
176,5214648.61334212
177,4751394.027985223
178,4337683.010228521
179,4135775.7802140345
180,4351263.829695564
181,4435673.932841795
182,4758378.945386799
183,4155327.731466709
184,4464643.397668865
185,3911606.442439058
186,3894593.660728712
187,5318235.855453101
188,5253723.007085562
189,4612372.773774458
190,4682427.035977857
191,4641479.539300051
192,4889571.705951525
193,4621770.066177636
194,4209204.634794
195,5135724.694095669
196,4322132.220705741
197,3860426.972827634
198,4485263.931385728
199,4617228.123323569
200,4830913.351674732
201,4103162.8938214304
202,4433528.01714822
203,4801038.248395273
204,4994918.694695746
205,4888056.58667815
206,4464196.758921633
207,4623715.707073432
208,4181395.730000608
209,4075607.6285514142
210,4875843.112776398
211,4264791.019378662
212,4385435.516223953
213,4117360.3194004805
