Id,Prediction
0,4419767.493332864
1,4108982.8865532726
2,4643881.7548989765
3,4011309.5371167683
4,4505125.828554529
5,4597712.428086109
6,4367796.124683665
7,4364248.950331484
8,4596716.423677298
9,4316073.748375198
10,4442766.558903969
11,4571993.4444312975
12,5342153.432123718
13,5055650.254988976
14,4445851.063733663
15,4446653.404261067
16,5208102.9496530425
17,3981450.6761933872
18,4896539.596177713
19,4469495.24188079
20,4560034.089931498
21,4628435.999187078
22,4420556.601755696
23,5130400.632025922
24,4844447.160566842
25,3914689.6823663088
26,3818114.5654444452
27,4449003.247635017
28,4517548.042050325
29,4602642.472576875
30,5215118.6297879405
31,4156013.3327087187
32,4483121.520274358
33,4327793.874998674
34,4056884.270648167
35,4414583.85348893
36,4431666.697940908
37,4553814.168337289
38,3802985.6408431875
39,4730274.021607088
40,4352402.177977684
41,4380991.72015596
42,4553443.115036325
43,5080489.614938033
44,4756357.937219772
45,4096638.733761165
46,4079490.692984202
47,3950070.194067961
48,4486789.0962507045
49,4656342.000650301
50,5082211.272416477
51,4825986.399526713
52,4105484.8520404715
53,3749992.9141823216
54,3789353.9812154016
55,4263182.443908188
56,4669500.95940782
57,4565445.039971182
58,4780644.135459857
59,4555491.664204634
60,3886507.3611279614
61,4224857.906854781
62,4385652.086638682
63,4324494.8057648335
64,4395167.618195661
65,5279778.994278017
66,4926291.4073395515
67,5235359.881613212
68,4803068.662649458
69,4173531.0985549185
70,4168456.0168566327
71,4421243.103839746
72,4418171.174826046
73,4156024.473073629
74,5453898.85309609
75,4704062.706744298
76,4532344.037751942
77,4271785.029250891
78,4489162.797035681
79,4500150.8420103695
80,5186140.974070459
81,4938600.970890346
82,4411541.484540049
83,4946705.273463006
84,5659895.619327398
85,3517459.921804126
86,4777150.659989306
87,4434114.743547264
88,4509861.303857662
89,4759647.112180656
90,4950322.625406527
91,5141029.487412631
92,3861878.4997938746
93,5026657.052365048
94,4507414.440123351
95,4638546.108455189
96,4325307.528790515
97,4441566.012515002
98,3979544.317001324
99,4361334.222752808
100,4225373.0495050885
101,3639651.687356122
102,4348977.290355312
103,4188863.4554306054
104,4351271.969878752
105,3854630.1029843925
106,5026153.432203421
107,4450107.793884667
108,4878740.525415968
109,4584292.847590443
110,4876200.029619969
111,4869900.977766305
112,5064898.649396057
113,4517514.01340766
114,4138357.5007658573
115,4735640.00105566
116,3914717.0804559398
117,4404924.93903871
118,3904328.048803455
119,4741898.067485937
120,4677053.18016647
121,4946723.315429508
122,4237622.431807109
123,5701632.39217457
124,4182273.7714498374
125,4312769.238063013
126,4977929.3309267145
127,4130021.515808207
128,4792339.814929399
129,4024754.83240754
130,3797804.473031572
131,4614537.082217233
132,5120583.465285787
133,4130657.7049525497
134,4144366.6068013096
135,4384889.304560018
136,4390166.3459784845
137,3993903.3505831114
138,4445868.340388753
139,4170911.9877846306
140,5268073.3405928975
141,3940826.9367675274
142,4455603.289275585
143,4230525.867852735
144,4279748.49806104
145,4177012.248094492
146,4392182.1944396235
147,3934710.49470355
148,4771005.597960521
149,4739140.232708861
150,4169273.4014288257
151,4178244.9404473472
152,4940688.467856548
153,5038168.013049804
154,3864598.1920790677
155,4885206.197728786
156,4837110.932586175
157,4683617.708854095
158,4433730.264950883
159,4165275.0136887967
160,4120438.2376159737
161,4000818.9892461053
162,4082272.4202640643
163,5133421.081312668
164,5789730.420306469
165,4601562.134785338
166,4653078.397058975
167,4468084.737146183
168,4318845.368173159
169,4845937.417204967
170,4250241.709149037
171,4022269.6768708285
172,4445105.404162834
173,4563778.325995488
174,4775107.35354478
175,4477234.987619856
176,5290584.4657714395
177,4861271.8840421485
178,4450897.197803204
179,4263458.346051543
180,4542529.883190056
181,4516332.578758091
182,4925012.797105891
183,4270538.028441321
184,4382327.459336882
185,3907915.4443911114
186,4063199.519169602
187,5359064.5909947
188,5284613.502221097
189,4599148.777822684
190,4479615.06838018
191,4742189.76692262
192,4658298.344861404
193,4742118.586712114
194,4137040.2867926587
195,5203930.149096656
196,4590142.270945661
197,3888613.5925129014
198,4534885.233882588
199,4343179.465732541
200,4901914.199021923
201,4064990.2248635218
202,4485292.729150626
203,4669723.980742463
204,4888457.145545749
205,4859890.135545265
206,4491515.7026906945
207,4589260.681804706
208,4292907.935899657
209,3998813.744827944
210,4977954.042846527
211,4255127.178821384
212,4427356.256397961
213,4174471.926247453
214,5182084.109201591
215,3379581.2307778676
216,4471779.12244463
217,4701094.409830293
218,4350777.719328509
219,3967116.617127516
220,5399517.355866403
221,4439599.717422502
222,4820193.746189768
223,4252111.313492447
224,4360398.9136128165
225,4482186.789082894
226,4844952.795626854
227,5327179.5470665805
228,4091762.733305494
229,4309493.007674143
230,4822019.368841943
231,4977999.76427593
232,4766820.0835176185
233,4729349.484539532
234,4384682.57624659
235,4620853.694764786
236,4125606.4301913944
237,3820909.0813514967
238,4804064.011263563
239,4868718.33046161
240,4384512.092252821
241,4531512.860679366
242,4054037.538756459
243,4400918.9015225405
244,4384463.38158882
245,6010548.839676854
246,4266117.276059744
247,4504611.240706524
